Videos title,Views,Length of videos,Videos link
Discovering the World of Data Science and AI | Shambhavi Gupta,1753,46:39,https://www.youtube.com/watch?v=q9_Q7j6_-Vc
How to become a Full Stack Developer | GeeksforGeeks,4728,11:57,https://www.youtube.com/watch?v=uSx5XsCkX3c
Office Video Leaked 😰🤯,5288,1:35,https://www.youtube.com/watch?v=i_HlQl7Tg9Q
Unleash Your Inner Geek: A Journey to Tech Mastery | Siddhartha Hazra,1068,41:41,https://www.youtube.com/watch?v=k9IBnmK0ywA
Link in Comments| Master Python Backend Development with Django!#python #django #djangoframework,31184,39,https://www.youtube.com/watch?v=OAMRaoId5Mk
From Zero to Hero: Mastering Backend Technologies | Kushal Vijay,2827,56:10,https://www.youtube.com/watch?v=-XxnZxNepgA
Get ticket worth 11k | Link in Comments,2953,24,https://www.youtube.com/watch?v=pvgiOLlF7JE
The Art of Problem Solving: Data Structures and Algorithms @FrazMohammad,10443,1:6:45,https://www.youtube.com/watch?v=Pe-Ag_MdByQ
Link in Comments!,2660,27,https://www.youtube.com/watch?v=fCtccSvOlnI
UI/UX Trends every Startup must know! | @thegeekmonk1707 |GeeksforGeeks,1037,2:3,https://www.youtube.com/watch?v=_E6_jZJAT3k
Tips to learn Coding from scratch! @thegeekmonk1707  #tips #coding #learntocode #learnfromthebest,2386,1:,https://www.youtube.com/watch?v=P2j7o-KvDsU
Building a Blockchain App with AMD Instances on Google Cloud Platform,2413,41:15,https://www.youtube.com/watch?v=x9Vv9kki1jE
Google's answer to Chat GPT @thegeekmonk1707  #googlebard #chatgpt | Google bard vs Chat GPT|,1887,58,https://www.youtube.com/watch?v=orTBgra3JeQ
Side Hustle for You! @thegeekmonk1707  #sidehustle #freelancing #earnmoneyonline,2803,1:,https://www.youtube.com/watch?v=N5nUZl9Gv_U
Age is Just a Number: The Story of a 14-Year-Old CEO | CodeCast | GeeksforGeeks,14247,16:45,https://www.youtube.com/watch?v=TASew4CmC9w
How to Use GPT 4 | How it's better from GPT 3 | GeeksforGeeks,3980,3:42,https://www.youtube.com/watch?v=Mnx3TAgbX7o
Master Java Backend Development Live: Build Powerful Applications with Expert Guidance,41912,29,https://www.youtube.com/watch?v=YR00_yMMD2Q
Building your Fintech on Google Cloud | Solving For India - Hackathon | GeeksforGeeks,2284,1:21:52,https://www.youtube.com/watch?v=_K_rh7Yit9M
Innovating Health-tech Solutions with GCP | Solving For India - Hackathon | GeeksforGeeks,2545,1:8:45,https://www.youtube.com/watch?v=zyKNMGOb6KY
Accelerating Fitness & Sports-tech Development with GCP |  Solving For India - Hackathon,1732,1:11:16,https://www.youtube.com/watch?v=2N5IM30dSpE
5 Resume Mistakes to Avoid | GeeksforGeeks,1223,51,https://www.youtube.com/watch?v=LrTeA6dXYzQ
Master DSA Today and be the Masters of Tomorrow,74737,25,https://www.youtube.com/watch?v=PsOXP5hg52w
How to avoid getting Laid Off | ft. Dr. Sneha Sharma,1103,31:37,https://www.youtube.com/watch?v=s4frRcj17AM
Empowering Agrotech Innovations with GCP | Solving For India - Hackathon | GeeksforGeeks,1741,46:40,https://www.youtube.com/watch?v=9Wwt1xiyQAQ
Psychology of Deciding Your Career ft. Dhairya Gangwani | GeeksforGeeks,847,19:28,https://www.youtube.com/watch?v=0oPyv39ynTo
Learning to Build Blockchain Application | Solving For India - Hackathon | GeeksforGeeks,3421,56:24,https://www.youtube.com/watch?v=sXJ2uOC0ZJw
Creating Instances on Google Cloud | Solving For India - Hackathon | GeeksforGeeks,6135,40:8,https://www.youtube.com/watch?v=P_C4isMvDoY
CodeCast Ep. 3 | Learn all About Competitive Programming | @PriyanshAgarwal  with Mr. Sandeep Jain,5861,31:56,https://www.youtube.com/watch?v=5uAFQqdS9oA
Advice for Women in Tech | ft. @PriyaVajpeyi,1527,11:55,https://www.youtube.com/watch?v=tn5BHjwAvTc
Empowering women coders || GeeksforGeeks,948,28:43,https://www.youtube.com/watch?v=ELZoGm7QWAs
Should You Switch for More Money?,2674,50,https://www.youtube.com/watch?v=novPfJtoTsQ
A Step-by-Step Guide to Start with Google Cloud Services & AMD Instances | GeeksforGeeks,12275,1:6:39,https://www.youtube.com/watch?v=FGsB6rVxh5o
Roadmap to Amazon | Twinkle Bajaj - SDE at Amazon,1746,18:30,https://www.youtube.com/watch?v=nRbR9A_8nMQ
Which one are you?,3193,38,https://www.youtube.com/watch?v=OdZfOU8jWfY
To Switch or Not To Switch?,4392,43,https://www.youtube.com/watch?v=CS5nJyQAxTw
Meet POE | Chabot by QUORA ft @thegeekmonk1707,2743,58,https://www.youtube.com/watch?v=wxXFN8F9ays
Google Cloud X AMD and GeeksforGeeks Goes to Colleges With Some Fun Twist!,1483,1:5,https://www.youtube.com/watch?v=RQuaGniMRUU
Can you solve this puzzle? | Give your answers in comments 👇🏻,2411,33,https://www.youtube.com/watch?v=CGZkoNtQl_U
Solving For India Hackathon | @googlecloud X AMD | GeeksforGeeks,2444,47,https://www.youtube.com/watch?v=p0FQuaFLh0A
GeeksforGeeks Job Fair 2023,25809,31,https://www.youtube.com/watch?v=xIC1IFPod9Y
OpenAI's ChatGPT & GPT 4 | Google's BARD AI | Will AI Replace You?,1936,35:45,https://www.youtube.com/watch?v=2RcaFQzCgys
Learn System Design with GeeksforGeeks,118340,36,https://www.youtube.com/watch?v=XQEZ07JhVuA
Get Started With Machine Learning | GeeksforGeeks,1690,15:30,https://www.youtube.com/watch?v=RSVndjS2gMM
🎊Celebrating Bi-Wizard's First Anniversary🎊 | Join the Best Young Coders in the World,613,31,https://www.youtube.com/watch?v=D8aEoRbwC64
"Meet Shikar Goel, CTO of GeeksforGeeks | Know His Journey",1656,37:22,https://www.youtube.com/watch?v=d2zk6YEqGsM
An Opportunity for Recruiters to Hire Top Tech Talent | Jobs Fair 2023 | GeeksforGeeks,1795,26,https://www.youtube.com/watch?v=RbQt5dz8Dws
🥲🥲,5340,5,https://www.youtube.com/watch?v=dOoiIwmXo20
A.I. Apps That Can Change Your Lives | GeeksforGeeks,2857,3:30,https://www.youtube.com/watch?v=kApRNheEJ8Q
Coders Tell Us: “Pyaar Kya Hai?”,5643,1:,https://www.youtube.com/watch?v=qIRBk1OkfoA
Roadmap To Master Recursion? Roadmap To Master Recursion! | GeeksforGeeks,2425,1:52,https://www.youtube.com/watch?v=51JvvwqQmlQ
"Coder hun, Give up nhi karta… 🥹",5381,7,https://www.youtube.com/watch?v=6a5CJuM3R_0
